frame,time,area (px)
100,3.33333,1053060
101,3.36667,1059459
102,3.40000,1068912
103,3.43333,1075230
104,3.46667,1081551
105,3.50000,1086254
106,3.53333,1090545
107,3.56667,1090138
108,3.60000,1086285
109,3.63333,1082843
110,3.66667,1082589
111,3.70000,1088009
112,3.73333,1091656
113,3.76667,1096054
114,3.80000,1099661
115,3.83333,1102898
116,3.86667,1110751
117,3.90000,1114590
118,3.93333,1117199
119,3.96667,1116069
120,4.00000,1115617
121,4.03333,1118215
122,4.06667,1121016
123,4.10000,1121883
124,4.13333,1121246
125,4.16667,1117533
126,4.20000,1114549
127,4.23333,1113502
128,4.26667,1104418
129,4.30000,1094117
130,4.33333,1089646
131,4.36667,1083795
132,4.40000,1077902
133,4.43333,1072358
134,4.46667,1068838
135,4.50000,1066819
136,4.53333,1061330
137,4.56667,1057622
138,4.60000,1054779
139,4.63333,1052194
140,4.66667,1050641
141,4.70000,1051397
142,4.73333,1050187
143,4.76667,1048907
144,4.80000,1052570
145,4.83333,1054164
146,4.86667,1055428
147,4.90000,1064530
148,4.93333,1074753
149,4.96667,1083678
150,5.00000,1087703
151,5.03333,1093590
152,5.06667,1096884
153,5.10000,1097553
154,5.13333,1094011
155,5.16667,1084725
156,5.20000,1079013
157,5.23333,1080136
158,5.26667,1084026
159,5.30000,1086215
160,5.33333,1092863
161,5.36667,1096849
162,5.40000,1091984
163,5.43333,1090034
164,5.46667,1090538
165,5.50000,1091059
166,5.53333,1091483
167,5.56667,1097430
168,5.60000,1103603
169,5.63333,1105014
170,5.66667,1105119
171,5.70000,1107263
172,5.73333,1112613
173,5.76667,1114532
174,5.80000,1117960
175,5.83333,1122622
176,5.86667,1125612
177,5.90000,1127740
178,5.93333,1129311
179,5.96667,1129387
180,6.00000,1131682
181,6.03333,1132245
182,6.06667,1131157
183,6.10000,1126650
184,6.13333,1124914
185,6.16667,1120317
186,6.20000,1114888
187,6.23333,1116008
188,6.26667,1116006
189,6.30000,1118135
190,6.33333,1118136
191,6.36667,1119415
192,6.40000,1123135
193,6.43333,1125920
194,6.46667,1121529
195,6.50000,1118066
196,6.53333,1120393
197,6.56667,1120146
198,6.60000,1116774
199,6.63333,1113878
200,6.66667,1113691
201,6.70000,1117284
202,6.73333,1122983
203,6.76667,1124431
204,6.80000,1125792
205,6.83333,1128582
206,6.86667,1133807
207,6.90000,1134886
208,6.93333,1134916
209,6.96667,1134045
210,7.00000,1131324
211,7.03333,1128952
212,7.06667,1127972
213,7.10000,1128218
214,7.13333,1129524
215,7.16667,1132905
216,7.20000,1135652
217,7.23333,1138756
218,7.26667,1140789
219,7.30000,1139937
220,7.33333,1138127
221,7.36667,1137117
222,7.40000,1135747
223,7.43333,1130664
224,7.46667,1121580
225,7.50000,1111888
226,7.53333,1105052
227,7.56667,1106352
228,7.60000,1116213
229,7.63333,1125533
230,7.66667,1138238
231,7.70000,1156568
232,7.73333,1171735
233,7.76667,1179501
234,7.80000,1185414
235,7.83333,1190779
236,7.86667,1183005
237,7.90000,1173826
238,7.93333,1163789
239,7.96667,1150931
240,8.00000,1143696
241,8.03333,1134265
242,8.06667,1123977
243,8.10000,1113588
244,8.13333,1107432
245,8.16667,1103630
246,8.20000,1099146
247,8.23333,1098127
248,8.26667,1104988
249,8.30000,1116824
250,8.33333,1122528
251,8.36667,1125469
252,8.40000,1129763
253,8.43333,1131090
254,8.46667,1126230
255,8.50000,1115914
256,8.53333,1104909
257,8.56667,1095766
258,8.60000,1085019
259,8.63333,1071235
260,8.66667,1058563
261,8.70000,1051086
262,8.73333,1045497
263,8.76667,1043207
264,8.80000,1043000
265,8.83333,1045199
266,8.86667,1046770
267,8.90000,1052131
268,8.93333,1064356
269,8.96667,1075654
270,9.00000,1081743
271,9.03333,1085649
272,9.06667,1084819
273,9.10000,1081405
274,9.13333,1081690
275,9.16667,1080867
276,9.20000,1081767
277,9.23333,1084643
278,9.26667,1089927
279,9.30000,1096521
280,9.33333,1099853
281,9.36667,1103114
282,9.40000,1107845
283,9.43333,1109284
284,9.46667,1110363
285,9.50000,1109258
286,9.53333,1107329
287,9.56667,1108262
288,9.60000,1105047
289,9.63333,1099776
290,9.66667,1095510
291,9.70000,1092074
292,9.73333,1088737
293,9.76667,1084094
294,9.80000,1081117
295,9.83333,1077557
296,9.86667,1074165
297,9.90000,1069838
298,9.93333,1061964
299,9.96667,1056809
300,10.00000,1054330
301,10.03333,1053460
302,10.06667,1049183
303,10.10000,1046308
304,10.13333,1045662
305,10.16667,1826123
306,10.20000,1825840
307,10.23333,1825123
308,10.26667,1824797
309,10.30000,1821746
310,10.33333,1821431
311,10.36667,1822172
312,10.40000,1822373
313,10.43333,1822830
314,10.46667,1823738
315,10.50000,1824343
316,10.53333,1824646
317,10.56667,1824929
318,10.60000,1825544
319,10.63333,1825578
320,10.66667,1824889
321,10.70000,1824140
322,10.73333,1823085
323,10.76667,1822875
324,10.80000,1823299
325,10.83333,1823303
326,10.86667,1822943
327,10.90000,1823102
328,10.93333,1823208
329,10.96667,1822767
330,11.00000,1822620
331,11.03333,1821759
332,11.06667,1821640
333,11.10000,1821353
334,11.13333,1819604
335,11.16667,1819047
336,11.20000,1819409
337,11.23333,1819247
338,11.26667,1819267
339,11.30000,1819745
340,11.33333,1820309
341,11.36667,1821238
342,11.40000,1822194
343,11.43333,1823152
344,11.46667,1822969
345,11.50000,1824092
346,11.53333,1824785
347,11.56667,1825374
348,11.60000,1826339
349,11.63333,1826383
350,11.66667,1825779
351,11.70000,1825924
352,11.73333,1826008
353,11.76667,1826456
354,11.80000,1826019
355,11.83333,1825428
356,11.86667,1825292
357,11.90000,1825570
358,11.93333,1825538
359,11.96667,1825772
360,12.00000,1827139
361,12.03333,1828127
362,12.06667,1828252
363,12.10000,1828187
364,12.13333,1827512
365,12.16667,1827942
366,12.20000,1828132
367,12.23333,1827583
368,12.26667,1827388
369,12.30000,1828037
370,12.33333,1828762
371,12.36667,1830038
372,12.40000,1830690
373,12.43333,1830752
374,12.46667,1830310
375,12.50000,1828922
376,12.53333,1827421
377,12.56667,1826247
378,12.60000,1825063
379,12.63333,1824805
380,12.66667,1824176
381,12.70000,1823542
382,12.73333,1822160
383,12.76667,1821034
384,12.80000,1820234
385,12.83333,1819885
386,12.86667,1819622
387,12.90000,1819758
388,12.93333,1819286
389,12.96667,1818238
390,13.00000,1816280
391,13.03333,1813820
392,13.06667,1811895
393,13.10000,998311
394,13.13333,1005520
395,13.16667,1006693
396,13.20000,1003445
397,13.23333,1000491
398,13.26667,996916
399,13.30000,990713
400,13.33333,980841
401,13.36667,968700
402,13.40000,958292
403,13.43333,948353
404,13.46667,943036
405,13.50000,943172
406,13.53333,941822
407,13.56667,938020
408,13.60000,938392
409,13.63333,943184
410,13.66667,943421
411,13.70000,942502
412,13.73333,943919
413,13.76667,947071
414,13.80000,954880
415,13.83333,965643
416,13.86667,972649
417,13.90000,975906
418,13.93333,979874
419,13.96667,977252
420,14.00000,973244
421,14.03333,969852
422,14.06667,964172
423,14.10000,962033
424,14.13333,958900
425,14.16667,957436
426,14.20000,1822276
427,14.23333,1820040
428,14.26667,1819371
429,14.30000,1819825
430,14.33333,1820591
431,14.36667,1820997
432,14.40000,1820644
433,14.43333,1820688
434,14.46667,1820759
435,14.50000,940814
436,14.53333,942345
437,14.56667,949755
438,14.60000,960336
439,14.63333,965457
440,14.66667,970255
441,14.70000,966856
442,14.73333,959580
443,14.76667,956752
444,14.80000,952997
445,14.83333,949118
446,14.86667,1825654
447,14.90000,1826645
448,14.93333,1826664
449,14.96667,1826289
450,15.00000,1826095
451,15.03333,1826581
452,15.06667,1826374
453,15.10000,1825752
454,15.13333,1826499
455,15.16667,1827928
456,15.20000,1829452
457,15.23333,1830205
458,15.26667,1830591
459,15.30000,1830493
460,15.33333,1830561
461,15.36667,1830659
462,15.40000,1830581
463,15.43333,1831153
464,15.46667,1831441
465,15.50000,1831375
466,15.53333,1831245
467,15.56667,1830756
468,15.60000,1830432
469,15.63333,1830608
470,15.66667,1830728
471,15.70000,1830846
472,15.73333,1831252
473,15.76667,1832620
474,15.80000,1834359
475,15.83333,1835046
476,15.86667,1836077
477,15.90000,1837016
478,15.93333,1836929
479,15.96667,1837058
480,16.00000,1837726
481,16.03333,1837590
482,16.06667,1837372
483,16.10000,1837199
484,16.13333,1836636
485,16.16667,1837058
486,16.20000,1836691
487,16.23333,1836602
488,16.26667,1836724
489,16.30000,1836855
490,16.33333,1836234
491,16.36667,1836264
492,16.40000,1836167
493,16.43333,1836035
494,16.46667,1835739
495,16.50000,1835674
496,16.53333,1835972
497,16.56667,1836593
498,16.60000,1836401
499,16.63333,1836714
500,16.66667,1836134
501,16.70000,1835424
502,16.73333,1834210
503,16.76667,1834073
504,16.80000,1834544
505,16.83333,1835714
506,16.86667,1835880
507,16.90000,1835857
508,16.93333,1836355
509,16.96667,1836925
510,17.00000,1836288
511,17.03333,1835618
512,17.06667,1835750
513,17.10000,1836576
514,17.13333,1836362
515,17.16667,1835699
516,17.20000,1835061
517,17.23333,1835398
518,17.26667,1835627
519,17.30000,1835460
520,17.33333,1835087
521,17.36667,1834770
522,17.40000,1834478
523,17.43333,1835238
